PopupChinese.com – New HSK Level 6,,,,,
序号,词汇,繁体,拼音,英文翻译,词性
1,哎哟,哎喲,ai1yo5,ow,auxiliary
2,挨,挨,ai2,to suffer,verb
3,癌症,癌症,ai2zheng4,cancer,noun
4,爱不释手,愛不釋手,ai4bu4shi4shou3,to love something too much to part with it,verb
5,爱戴,愛戴,ai4dai4,to love and esteem,verb
6,暧昧,曖昧,ai4mei4,ambiguous,adjective
7,安居乐业,安居樂業,an1ju1le4ye4,to live and work in peace and contentment,verb
8,安宁,安寧,an1ling2,peaceful,adjective
9,安详,安詳,an1xiang2,serene,adjective
10,安置,安置,an1zhi4,to arrange for,verb
11,案件,案件,an4jian4,law case,noun
12,案例,案例,an4li4,case,noun
13,按摩,按摩,an4mo2,to massage,verb
14,暗示,暗示,an4shi4,to drop a hint,verb
15,昂贵,昂貴,ang2gui4,expensive,adjective
16,凹凸,凹凸,ao1tu1,concave-convex,adjective
17,熬,熬,ao2,to simmer,verb
18,奥秘,奧秘,ao4mi4,mystery,noun
19,疤,疤,ba1,scar,noun
20,扒,扒,ba1,"to dig up, to cling to",verb
21,巴不得,巴不得,ba1bu5de2,to earnestly wish,verb
22,巴结,巴結,ba1jie5,to fawn on,verb
23,揠苗助长,揠苗助長,ya4miao2zhu4zhang3,too much zeal spoil all,verb
24,把关,把關,ba3guan3,to guard a pass,verb
25,把手,把手,ba3shou5,knob,noun
26,把戏,把戲,ba3xi4,trick,noun
27,霸道,霸道,ba4dao4,overbearing,adjective
28,罢工,罷工,ba4gong1,strike,noun
29,掰,掰,bai1,to break with both hands,verb
30,百分点,百分點,bai3fen1dian3,percentage point,noun
31,摆脱,擺脫,bai3tuo1,to get rid of,verb
32,拜访,拜訪,bai4fang3,to visit,verb
33,败坏,敗壞,bai4huai4,to corrupt,verb
34,拜年,拜年,bai4nian2,to wish sb a Happy New Year,verb
35,拜托,拜託,bai4tuo1,to request,verb
36,版本,版本,ban1ben3,version,noun
37,颁布,頒佈,ban1bu4,to issue,verb
38,斑纹,斑紋,ban1wen3,stripe,noun
39,伴侣,伴侶,ban4lv3,partner,noun
40,伴随,伴隨,ban4sui2,to accompany,verb
41,半途而废,半途而廢,ban4tu2er2fei4,to give up halfway,verb
42,扮演,扮演,ban4yan3,to play a role of,verb
43,绑架,綁架,bang3jia4,to kidnap,verb
44,榜样,榜樣,bang3yang4,model,noun
